1-Кезең	2-Ай сайынғы төлем	3-Негізгі қарыз	4-Есептелген пайыз	5-Негізгі қалған қарыз	
1 aй	93037	55120	37916	6444879	
2 aй	93037	55442	37595	6389436	
3 aй	93037	55765	37271	6333670	
4 aй	93037	56091	36946	6277579	
5 aй	93037	56418	36619	6221161	
6 aй	93037	56747	36290	6164414	
7 aй	93037	57078	35959	6107335	
8 aй	93037	57411	35626	6049924	
9 aй	93037	57746	35291	5992177	
10 aй	93037	58083	34954	5934094	
11 aй	93037	58421	34615	5875672	
12 aй	93037	58762	34274	5816910	
13 aй	93037	59105	33931	5757804	
14 aй	93037	59450	33587	5698354	
15 aй	93037	59797	33240	5638557	
16 aй	93037	60145	32891	5578411	
17 aй	93037	60496	32540	5517914	
18 aй	93037	60849	32187	5457064	
19 aй	93037	61204	31832	5395859	
20 aй	93037	61561	31475	5334298	
21 aй	93037	61920	31116	5272377	
22 aй	93037	62282	30755	5210095	
23 aй	93037	62645	30392	5147450	
24 aй	93037	63010	30026	5084439	
25 aй	93037	63378	29659	5021061	
26 aй	93037	63748	29289	4957313	
27 aй	93037	64119	28917	4893193	
28 aй	93037	64493	28543	4828699	
29 aй	93037	64870	28167	4763829	
30 aй	93037	65248	27789	4698580	
31 aй	93037	65629	27408	4632951	
32 aй	93037	66011	27025	4566939	
33 aй	93037	66397	26640	4500542	
34 aй	93037	66784	26253	4433758	
35 aй	93037	67173	25863	4366584	
36 aй	93037	67565	25471	4299018	
37 aй	93037	67959	25077	4231058	
38 aй	93037	68356	24681	4162702	
39 aй	93037	68755	24282	4093947	
40 aй	93037	69156	23881	4024790	
41 aй	93037	69559	23477	3955231	
42 aй	93037	69965	23072	3885265	
43 aй	93037	70373	22664	3814892	
44 aй	93037	70783	22253	3744108	
45 aй	93037	71196	21840	3672911	
46 aй	93037	71612	21425	3601299	
47 aй	93037	72029	21007	3529269	
48 aй	93037	72450	20587	3456819	
49 aй	93037	72872	20164	3383946	
50 aй	93037	73297	19739	3310648	
51 aй	93037	73725	19312	3236923	
52 aй	93037	74155	18882	3162767	
53 aй	93037	74588	18449	3088179	
54 aй	93037	75023	18014	3013156	
55 aй	93037	75460	17576	2937695	
56 aй	93037	75900	17136	2861794	
57 aй	93037	76343	16693	2785451	
58 aй	93037	76789	16248	2708662	
59 aй	93037	77237	15800	2631425	
60 aй	93037	77687	15349	2553737	
61 aй	93037	78140	14896	2475596	
62 aй	93037	78596	14440	2397000	
63 aй	93037	79055	13982	2317945	
64 aй	93037	79516	13521	2238429	
65 aй	93037	79980	13057	2158449	
66 aй	93037	80446	12590	2078002	
67 aй	93037	80915	12121	1997086	
68 aй	93037	81387	11649	1915698	
69 aй	93037	81862	11174	1833836	
70 aй	93037	82340	10697	1751495	
71 aй	93037	82820	10217	1668675	
72 aй	93037	83303	9733	1585371	
73 aй	93037	83789	9248	1501582	
74 aй	93037	84278	8759	1417304	
75 aй	93037	84769	8267	1332534	
76 aй	93037	85264	7773	1247269	
77 aй	93037	85761	7275	1161507	
78 aй	93037	86262	6775	1075245	
79 aй	93037	86765	6272	988480	
80 aй	93037	87271	5766	901209	
81 aй	93037	87780	5257	813428	
82 aй	93037	88292	4745	725136	
83 aй	93037	88807	4229	636328	
84 aй	93037	89325	3711	547003	
85 aй	93037	89846	3190	457156	
86 aй	93037	90370	2666	366785	
87 aй	93037	90897	2139	275887	
88 aй	93037	91428	1609	184459	
89 aй	93037	91961	1076	92497	
90 aй	93037	92497	539	0	
